new_id,age_guess,gender_guess,zip,income,race
3338,11,male,60628,39591.7109,
3351,13,male,60620,35720.8559,
3355,6,female,60622,62490.8059,white
3399,12,male,60638,60046.2161,white
3401,12,female,60638,60046.2161,white
3409,9,female,60638,60046.2161,white
3412,9,male,60638,60046.2161,white
3419,13,male,60618,58005.5133,white
3420,11,male,60618,58005.5133,white
3426,12,female,60629,42864.0098,white
3438,8,male,60640,43975.102,white
3439,10,female,60638,60046.2161,white
3441,3,female,60638,60046.2161,white
3443,4,female,60640,43975.102,white
3450,11,male,60610,61110.0357,white
3452,6,male,60634,57736.1576,white
3461,51,female,60621,21154.5006,
3476,45,female,60625,52037.0342,white
3514,6,male,60657,78622.5332,white
3517,9,female,60636,28860.7037,
3529,7,male,60612,36926.7266,white
3534,3,female,60638,60046.2161,white
3550,8,male,60617,39216.4893,white
3552,8,male,60617,39216.4893,white
3553,8,female,60617,39216.4893,white
3562,29,male,60618,58005.5133,white
3570,51,male,60641,49558.7368,white
3574,6,male,60633,46089.2828,white
3576,4,female,60633,46089.2828,white
3579,42,male,60644,26299.2288,
3587,7,female,60656,59178.5106,white
3588,66,female,60614,89740.5419,white
3589,5,male,60656,59178.5106,white
3590,2,male,60647,50830.9318,white
3591,8,female,60616,47561.8415,white
3593,39,male,60655,83897.8066,white
3596,17,male,60651,32715.9962,white
3600,38,male,60618,58005.5133,white
3607,13,male,60630,57285.3423,white
3610,10,male,60630,57285.3423,white
3618,52,female,60630,57285.3423,white
3624,7,male,60657,78622.5332,white
3625,42,female,60613,68426.0555,white
3626,4,female,60657,78622.5332,white
3628,4,male,60633,46089.2828,white
3643,4,female,60625,52037.0342,white
3655,9,male,60618,58005.5133,white
3660,5,male,60629,42864.0098,white
3661,6,male,60625,52037.0342,white
3663,45,male,60625,52037.0342,white
3677,22,male,60651,32715.9962,white
3679,6,female,60660,42405.2031,white
3682,7,male,60630,57285.3423,white
3686,38,female,60651,32715.9962,white
3697,8,male,60641,49558.7368,white
3698,5,female,60641,49558.7368,white
3700,57,female,60651,32715.9962,white
3710,28,male,60639,41642.9274,white
3711,28,male,60639,41642.9274,white
3721,30,female,60639,41642.9274,white
3722,37,female,60622,62490.8059,white
3723,34,female,60639,41642.9274,white
3726,25,female,60641,49558.7368,white
3736,16,male,60626,40808.2465,white
3737,23,male,60630,57285.3423,white
